model,init,encoding,layers,mode,lr,wd,params,size,hyper_params,encoder_params,train_set,epochs_trained,eval_set,glob_RMSE,glob_MAE,glob_ME,glob_VE,glob_MedAE,glob_P95AE,b0-25_RMSE,b0-25_MAE,b0-25_ME,b0-25_VE,b0-25_MedAE,b0-25_P95AE,b25-150_RMSE,b25-150_MAE,b25-150_ME,b25-150_VE,b25-150_MedAE,b25-150_P95AE,b150-inf_RMSE,b150-inf_MAE,b150-inf_ME,b150-inf_VE,b150-inf_MedAE,b150-inf_P95AE,c1_glob_T2Gap,c1_glob_Conf,c1_glob_BitAcc,c1_glob_DecAcc,c1_glob_ECE,c1_glob_BalAcc,c1_b0-25_T2Gap,c1_b0-25_Conf,c1_b0-25_BitAcc,c1_b0-25_DecAcc,c1_b0-25_ECE,c1_b0-25_BalAcc,c1_b25-150_T2Gap,c1_b25-150_Conf,c1_b25-150_BitAcc,c1_b25-150_DecAcc,c1_b25-150_ECE,c1_b25-150_BalAcc,c1_b150-inf_T2Gap,c1_b150-inf_Conf,c1_b150-inf_BitAcc,c1_b150-inf_DecAcc,c1_b150-inf_ECE,c1_b150-inf_BalAcc,c2_glob_T2Gap,c2_glob_Conf,c2_glob_BitAcc,c2_glob_DecAcc,c2_glob_ECE,c2_glob_BalAcc,c2_b0-25_T2Gap,c2_b0-25_Conf,c2_b0-25_BitAcc,c2_b0-25_DecAcc,c2_b0-25_ECE,c2_b0-25_BalAcc,c2_b25-150_T2Gap,c2_b25-150_Conf,c2_b25-150_BitAcc,c2_b25-150_DecAcc,c2_b25-150_ECE,c2_b25-150_BalAcc,c2_b150-inf_T2Gap,c2_b150-inf_Conf,c2_b150-inf_BitAcc,c2_b150-inf_DecAcc,c2_b150-inf_ECE,c2_b150-inf_BalAcc
siren,siren,None,(5x512),ecoc,0.0009,0.0,1.086M,4.344MB,ω0=30;ωh=1;s=1;β=1;k=20;z=local;reg=True;F=256;P=8,m=16;σ=6.283;α=1,eval_uniform_1M,20,log_dataset_1M,31.593669891357422,17.51890754699707,3.360383987426758,986.8687133789062,9.637511253356934,61.36597442626953,11.936394691467285,9.0742826461792,7.819872856140137,81.3272476196289,7.112461090087891,23.996904373168945,21.800491333007812,17.418540954589844,-7.080682754516602,425.12896728515625,15.012245178222656,42.28736114501953,61.75792694091797,42.64451217651367,-4.383239269256592,3794.845703125,29.4639892578125,128.1407928466797,0.9562867283821106,0.9743996858596802,0.7820752859115601,0.6361510157585144,0.33847835659980774,0.33671462535858154,0.9401384592056274,0.9648809432983398,0.6921716928482056,0.47692474722862244,0.4881417453289032,0.2946692705154419,0.964422345161438,0.9795147180557251,0.8774642944335938,0.8434890508651733,0.1360497623682022,0.6203249096870422,0.9999491572380066,0.9999690651893616,0.9987863302230835,0.9997482299804688,0.00023285302449949086,0.9973644614219666,0.9552775025367737,0.9742228984832764,0.592936635017395,0.7154520153999329,0.25912147760391235,0.6091871857643127,0.9391980767250061,0.9651089906692505,0.6714115738868713,0.5869470238685608,0.3784676194190979,0.5425891280174255,0.9701911807060242,0.9814658761024475,0.47189128398895264,0.9294252991676331,0.052061036229133606,0.7589033246040344,0.9951669573783875,0.9974695444107056,0.42366549372673035,0.9843419790267944,0.013138859532773495,0.8456427454948425
siren,siren,None,(5x512),softmax,0.0009,0.0,1.359M,5.436MB,ω0=30;ωh=1;s=1;β=1;k=20;z=local;reg=True;F=256;P=8,m=16;σ=6.283;α=1,eval_uniform_1M,19,log_dataset_1M,37.27920913696289,19.350635528564453,4.607822418212891,1368.5087890625,9.762481689453125,72.0050048828125,11.766447067260742,9.000064849853516,7.722074031829834,78.81895446777344,7.142526626586914,23.533050537109375,22.06793212890625,17.688472747802734,-7.9829254150390625,423.2701416015625,15.291934967041016,42.42326354980469,74.70068359375,50.95738983154297,1.9900683164596558,5576.2568359375,34.4271240234375,158.54234313964844,0.7096981406211853,0.8507570028305054,,0.7465739846229553,0.10439340770244598,0.4085046350955963,0.5729202032089233,0.7804659008979797,,0.6183499693870544,0.16214919090270996,0.36514541506767273,0.9302023649215698,0.9640564322471619,,0.9883784651756287,0.02412784844636917,0.9614800214767456,0.9997130632400513,0.9998075366020203,,0.9999775290489197,3.141168417641893e-05,0.9868420958518982,0.6817759275436401,0.8325571417808533,,0.7277039885520935,0.10507400333881378,0.6779492497444153,0.5540927648544312,0.7658107280731201,,0.6013690829277039,0.16449381411075592,0.6088240146636963,0.8630847930908203,0.9251418709754944,,0.9533942341804504,0.02817804366350174,0.8436026573181152,0.9654231667518616,0.9819891452789307,,0.9839823246002197,0.0018167445668950677,0.8969810009002686
siren,sirenbU,None,(5x512),softmax,0.0009,0.0,1.359M,5.436MB,ω0=30;ωh=1;s=1;β=1;k=20;z=local;reg=True;F=256;P=8,m=16;σ=6.283;α=1,eval_uniform_1M,18,log_dataset_1M,36.493770599365234,19.63540267944336,4.125078201293945,1314.780517578125,10.444552421569824,71.1505355834961,12.571423530578613,9.640854835510254,8.45106315612793,86.62035369873047,7.719768524169922,24.729324340820312,23.027698516845703,18.452604293823242,-9.16207504272461,446.3351135253906,15.979570388793945,44.119632720947266,72.37918853759766,49.93272018432617,-1.7237739562988281,5235.798828125,34.17108154296875,153.43475341796875,0.700520396232605,0.8457271456718445,,0.744687020778656,0.10125786811113358,0.4146009087562561,0.5603125691413879,0.7735352516174316,,0.6156638860702515,0.15791988372802734,0.3711889088153839,0.9232138991355896,0.9603588581085205,,0.987405002117157,0.02686930261552334,0.9560790061950684,0.9995661973953247,0.9997198581695557,,0.9999819993972778,8.70072326506488e-05,0.9921051859855652,0.6856863498687744,0.8341099619865417,,0.7262009978294373,0.10812675952911377,0.6780903935432434,0.5617222189903259,0.7691604495048523,,0.5997050404548645,0.16951647400856018,0.6138510704040527,0.8563506007194519,0.9210784435272217,,0.9488429427146912,0.027663636952638626,0.8420126438140869,0.9638954401016235,0.9811634421348572,,0.9845622777938843,0.0032260946463793516,0.8922613859176636
siren,siren,None,(5x512),softmax,0.0009,0.0,1.359M,5.436MB,ω0=30;ωh=1;s=1;β=1;k=20;z=local;reg=True;F=256;P=8,m=16;σ=6.283;α=1,eval_uniform_10M,20,log_dataset_1M,30.013498306274414,13.642254829406738,-0.30390945076942444,900.7186279296875,5.704770565032959,56.75226974487305,6.513563632965088,5.041786193847656,3.2744038105010986,31.704835891723633,4.021024703979492,12.997374534606934,13.602771759033203,10.823234558105469,-2.2643697261810303,179.90957641601562,9.244880676269531,26.038204193115234,61.85673904418945,40.66187286376953,-9.896075248718262,3728.340576171875,25.95220947265625,129.59561157226562,0.763294517993927,0.8801136612892151,,0.7710229754447937,0.10953515768051147,0.47788047790527344,0.6441770792007446,0.8198126554489136,,0.6534473299980164,0.16646325588226318,0.43538400530815125,0.9859896898269653,0.9927949905395508,,0.9991973638534546,0.006079141981899738,0.9991770386695862,0.9997202754020691,0.9998288750648499,,0.9999865293502808,3.7211204471532255e-05,0.9921053051948547,0.7441455125808716,0.868465006351471,,0.7618370056152344,0.10705582797527313,0.756394624710083,0.6269749999046326,0.8083822727203369,,0.6472257971763611,0.16123326122760773,0.6893872022628784,0.9538908004760742,0.9754903316497803,,0.978601336479187,0.0033379991073161364,0.9275650382041931,0.9816089272499084,0.9905097484588623,,0.9880058765411377,0.0027321111410856247,0.9335163831710815
siren,siren,None,(5x512),softmax,0.0009,0.0,1.359M,5.436MB,ω0=30;ωh=1;s=1;β=1;k=20;z=local;reg=True;F=256;P=8,m=16;σ=6.283;α=1,eval_uniform_1M,167,log_dataset_1M,30.80512809753418,14.330282211303711,1.8792052268981934,945.4254150390625,6.056820392608643,59.815284729003906,7.0208330154418945,5.379541397094727,3.64089035987854,36.03607177734375,4.219698905944824,14.133293151855469,14.267762184143066,11.386937141418457,-2.400127649307251,197.8101043701172,9.758934020996094,27.287158966064453,63.34474182128906,42.45534133911133,-1.0984184741973877,4011.36767578125,27.342575073242188,137.09844970703125,0.7826870679855347,0.8898723125457764,,0.7678239941596985,0.12259681522846222,0.4781249463558197,0.6733362674713135,0.8344848155975342,,0.648708164691925,0.18595600128173828,0.4370597302913666,0.9871000051498413,0.9933591485023499,,0.9986081719398499,0.0049408250488340855,0.9978833198547363,0.999739944934845,0.9998389482498169,,0.9999865293502808,2.468797902110964e-05,0.9921053051948547,0.7642307877540588,0.8789562582969666,,0.7579420208930969,0.12153443694114685,0.7407304048538208,0.657008171081543,0.8240633606910706,,0.6415402889251709,0.18266281485557556,0.6696645021438599,0.9551612138748169,0.9761863946914673,,0.9777047038078308,0.0017402443336322904,0.9225726127624512,0.9820637106895447,0.9907487034797668,,0.9878485202789307,0.003152670105919242,0.9250319004058838
